analysis_split,condition_id,policy_id,n,unique_facts,generated_parametric_rate,generated_context_rate,distinct_candidate_n,distinct_generated_parametric_rate,distinct_generated_context_rate,other_rate,unparseable_rate,irrelevant_claim_rate,policy_compliance_rate,mean_context_minus_parametric_margin,mean_parametric_answer_logprob,mean_awareness_probe_logit
id_test,false_irrelevant,context,28,28,0.5714285714285714,0.0,28,0.5714285714285714,0.0,0.03571428571428571,0.39285714285714285,0.0,,,-1.1054828677858626,-2.792990582311642
id_test,false_irrelevant,neutral,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,,,-0.015163881438119071,-2.7180755407036234
id_test,false_irrelevant,parametric,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,,-0.01914821352277483,-2.7327224658117126
id_test,false_relevant,context,28,28,0.0,0.9642857142857143,28,0.0,0.9642857142857143,0.03571428571428571,0.0,0.0,0.9642857142857143,9.34319976397923,-9.347190618515015,9.517449438724572
id_test,false_relevant,neutral,28,28,0.5714285714285714,0.39285714285714285,28,0.5714285714285714,0.39285714285714285,0.03571428571428571,0.0,0.0,,-4.47097304889134,-0.9633664063044957,10.091393282005084
id_test,false_relevant,parametric,28,28,0.9642857142857143,0.0,28,0.9642857142857143,0.0,0.03571428571428571,0.0,0.0,0.9642857142857143,-34.433573335409164,-0.019668510981968472,5.154154063068025
id_test,true_irrelevant,context,28,28,0.4642857142857143,0.0,28,0.4642857142857143,0.0,0.03571428571428571,0.5,0.0,,,-1.3328194958823067,-3.786354194115567
id_test,true_irrelevant,neutral,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,,,-0.014517392430986677,-3.905632415679492
id_test,true_irrelevant,parametric,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,,-0.017685566629682268,-3.641082714462588
id_test,true_relevant,context,28,28,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-2.895082746233259e-06,-1.784010000926626
id_test,true_relevant,neutral,28,28,1.0,1.0,0,,,0.0,0.0,0.0,,,-2.316066196986607e-06,-1.985460372923073
id_test,true_relevant,parametric,28,28,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-0.00011818749564034598,-2.026039860092051
ood_relation,false_irrelevant,context,118,118,0.6779661016949152,0.0,118,0.6779661016949152,0.0,0.3050847457627119,0.01694915254237288,0.0,,,-0.7273200083587129,-1.63789043230424
ood_relation,false_irrelevant,neutral,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,,,-0.013592522023087842,-1.9501417600608728
ood_relation,false_irrelevant,parametric,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,1.0,,-0.0006256992534055549,-3.3606260881263443
ood_relation,false_relevant,context,118,118,0.025423728813559324,0.9745762711864406,118,0.025423728813559324,0.9745762711864406,0.0,0.0,0.0,0.9745762711864406,11.855217400243728,-12.005817979069079,4.224732668804603
ood_relation,false_relevant,neutral,118,118,0.8813559322033898,0.11864406779661017,118,0.8813559322033898,0.11864406779661017,0.0,0.0,0.0,,-16.073987108165934,-1.1959533044847392,4.564395641432604
ood_relation,false_relevant,parametric,118,118,0.9745762711864406,0.025423728813559324,118,0.9745762711864406,0.025423728813559324,0.0,0.0,0.0,0.9745762711864406,-27.910532745264344,-0.21031406370259947,2.5059963590005347
ood_relation,true_irrelevant,context,118,118,0.5932203389830508,0.0,118,0.5932203389830508,0.0,0.3644067796610169,0.0423728813559322,0.0,,,-1.1780245991076452,-2.9953461347333814
ood_relation,true_irrelevant,neutral,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,,,-0.004532070483191539,-3.724514155984519
ood_relation,true_irrelevant,parametric,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,1.0,,-0.00022950414883888374,-4.013707299471503
ood_relation,true_relevant,context,118,118,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-1.1314780025158899e-07,-1.9372446865217527
ood_relation,true_relevant,neutral,118,118,1.0,1.0,0,,,0.0,0.0,0.0,,,-3.63689357951536e-07,-2.399076936155582
ood_relation,true_relevant,parametric,118,118,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-1.632561117915784e-06,-2.6986152052732355
ood_relation_paraphrase,false_irrelevant,context,118,118,0.9915254237288136,0.0,118,0.9915254237288136,0.0,0.00847457627118644,0.0,0.0,,,-0.008854760962017512,-0.23134585305765354
ood_relation_paraphrase,false_irrelevant,neutral,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,,,-0.0024855823840125133,-3.074408660297679
ood_relation_paraphrase,false_irrelevant,parametric,118,118,0.9915254237288136,0.0,118,0.9915254237288136,0.0,0.00847457627118644,0.0,0.0,0.9915254237288136,,-0.01638463392096051,-3.9539212147798057
ood_relation_paraphrase,false_relevant,context,118,118,0.3305084745762712,0.6694915254237288,118,0.3305084745762712,0.6694915254237288,0.0,0.0,0.0,0.6694915254237288,0.9214627702357405,-4.185772515959659,3.1010300565660422
ood_relation_paraphrase,false_relevant,neutral,118,118,0.9745762711864406,0.00847457627118644,118,0.9745762711864406,0.00847457627118644,0.01694915254237288,0.0,0.0,,-27.74280332306684,-0.15824595952438095,2.831033694017761
ood_relation_paraphrase,false_relevant,parametric,118,118,0.9915254237288136,0.00847457627118644,118,0.9915254237288136,0.00847457627118644,0.0,0.0,0.0,0.9915254237288136,-31.3042038618508,-0.12703374684867214,1.2573209275744706
